Date,BTC-USD,ETH-USD
2023-08-15,29170.34765625,1826.9327392578125
2023-08-16,28701.779296875,1805.6590576171875
2023-08-17,26664.55078125,1684.9334716796875
2023-08-18,26049.556640625,1660.945068359375
2023-08-19,26096.205078125,1669.471923828125
2023-08-20,26189.583984375,1684.85205078125
2023-08-21,26124.140625,1667.26904296875
2023-08-22,26031.65625,1633.892578125
2023-08-23,26431.640625,1679.2744140625
2023-08-24,26162.373046875,1659.944580078125
2023-08-25,26047.66796875,1652.93505859375
2023-08-26,26008.462890625,1646.3067626953125
2023-08-27,26089.693359375,1657.5130615234375
2023-08-28,26106.150390625,1652.4573974609375
2023-08-29,27727.392578125,1729.7257080078125
2023-08-30,27297.265625,1705.1121826171875
2023-08-31,25931.47265625,1645.63916015625
2023-09-01,25800.724609375,1628.4912109375
2023-09-02,25868.798828125,1637.025390625
2023-09-03,25969.56640625,1636.11767578125
2023-09-04,25812.416015625,1629.6552734375
2023-09-05,25779.982421875,1633.62939453125
2023-09-06,25753.236328125,1632.2523193359375
2023-09-07,26240.1953125,1647.5982666015625
2023-09-08,25905.654296875,1636.1378173828125
2023-09-09,25895.677734375,1635.162353515625
2023-09-10,25832.2265625,1616.828857421875
2023-09-11,25162.654296875,1551.6376953125
2023-09-12,25833.34375,1592.429443359375
2023-09-13,26228.32421875,1607.988525390625
2023-09-14,26539.673828125,1626.974365234375
2023-09-15,26608.693359375,1641.640380859375
2023-09-16,26568.28125,1635.2216796875
2023-09-17,26534.1875,1622.896728515625
2023-09-18,26754.28125,1637.3470458984375
2023-09-19,27211.1171875,1643.544677734375
2023-09-20,27132.0078125,1622.890625
2023-09-21,26567.6328125,1584.3070068359375
2023-09-22,26579.568359375,1593.268310546875
2023-09-23,26579.390625,1593.8577880859375
2023-09-24,26256.826171875,1580.8533935546875
2023-09-25,26298.48046875,1588.3228759765625
2023-09-26,26217.25,1593.417236328125
2023-09-27,26352.716796875,1597.4912109375
2023-09-28,27021.546875,1652.8826904296875
2023-09-29,26911.720703125,1667.94384765625
2023-09-30,26967.916015625,1671.161865234375
2023-10-01,27983.75,1733.8104248046875
2023-10-02,27530.78515625,1663.6275634765625
2023-10-03,27429.978515625,1656.6856689453125
2023-10-04,27799.39453125,1647.838134765625
2023-10-05,27415.912109375,1611.4764404296875
2023-10-06,27946.59765625,1645.83154296875
2023-10-07,27968.83984375,1634.51123046875
2023-10-08,27935.08984375,1633.548583984375
2023-10-09,27583.677734375,1579.806640625
2023-10-10,27391.01953125,1567.7130126953125
2023-10-11,26873.3203125,1566.2547607421875
2023-10-12,26756.798828125,1539.6124267578125
2023-10-13,26862.375,1552.0894775390625
2023-10-14,26861.70703125,1555.2568359375
2023-10-15,27159.65234375,1558.06982421875
2023-10-16,28519.466796875,1600.5343017578125
2023-10-17,28415.748046875,1565.4395751953125
2023-10-18,28328.341796875,1563.7498779296875
2023-10-19,28719.806640625,1567.45703125
2023-10-20,29682.94921875,1604.6668701171875
2023-10-21,29918.412109375,1629.304443359375
2023-10-22,29993.896484375,1663.429931640625
2023-10-23,33086.234375,1765.3826904296875
2023-10-24,33901.52734375,1784.4375
2023-10-25,34502.8203125,1787.3975830078125
2023-10-26,34156.6484375,1804.039306640625
2023-10-27,33909.80078125,1780.0452880859375
2023-10-28,34089.57421875,1776.6181640625
2023-10-29,34538.48046875,1795.5460205078125
2023-10-30,34502.36328125,1810.088623046875
2023-10-31,34667.78125,1816.458984375
2023-11-01,35437.25390625,1847.0897216796875
2023-11-02,34938.2421875,1800.6209716796875
2023-11-03,34732.32421875,1832.795166015625
2023-11-04,35082.1953125,1857.6986083984375
2023-11-05,35049.35546875,1894.15771484375
2023-11-06,35037.37109375,1899.83740234375
2023-11-07,35443.5625,1888.124267578125
2023-11-08,35655.27734375,1889.3223876953125
2023-11-09,36693.125,2120.56103515625
2023-11-10,37313.96875,2078.289794921875
2023-11-11,37138.05078125,2052.7138671875
2023-11-12,37054.51953125,2045.18701171875
2023-11-13,36502.35546875,2055.265380859375
2023-11-14,35537.640625,1979.0526123046875
2023-11-15,37880.58203125,2060.408447265625
2023-11-16,36154.76953125,1960.881591796875
2023-11-17,36596.68359375,1961.28076171875
2023-11-18,36585.703125,1963.2850341796875
2023-11-19,37386.546875,2013.2044677734375
2023-11-20,37476.95703125,2022.2391357421875
2023-11-21,35813.8125,1937.0667724609375
2023-11-22,37432.33984375,2064.42529296875
2023-11-23,37289.62109375,2062.210693359375
2023-11-24,37720.28125,2081.152099609375
2023-11-25,37796.79296875,2084.4130859375
2023-11-26,37479.12109375,2063.2861328125
2023-11-27,37254.16796875,2027.4173583984375
2023-11-28,37831.0859375,2049.338134765625
2023-11-29,37858.4921875,2029.92919921875
2023-11-30,37712.74609375,2052.55615234375
2023-12-01,38688.75,2087.139892578125
2023-12-02,39476.33203125,2165.7041015625
2023-12-03,39978.390625,2193.691650390625
2023-12-04,41980.09765625,2243.2158203125
2023-12-05,44080.6484375,2293.841796875
2023-12-06,43746.4453125,2231.661376953125
2023-12-07,43292.6640625,2357.57958984375
2023-12-08,44166.6015625,2358.73193359375
2023-12-09,43725.984375,2341.17529296875
2023-12-10,43779.69921875,2352.462646484375
2023-12-11,41243.83203125,2224.578857421875
2023-12-12,41450.22265625,2202.0380859375
2023-12-13,42890.7421875,2260.648681640625
2023-12-14,43023.97265625,2316.5791015625
2023-12-15,41929.7578125,2219.33740234375
2023-12-16,42240.1171875,2226.926513671875
2023-12-17,41364.6640625,2196.481201171875
2023-12-18,42623.5390625,2217.2734375
2023-12-19,42270.52734375,2177.87255859375
2023-12-20,43652.25,2201.911376953125
2023-12-21,43869.15234375,2239.54248046875
2023-12-22,43997.90234375,2326.52490234375
2023-12-23,43739.54296875,2309.04638671875
2023-12-24,43016.1171875,2265.692138671875
2023-12-25,43613.140625,2272.561767578125
2023-12-26,42520.40234375,2231.46533203125
2023-12-27,43442.85546875,2378.739990234375
2023-12-28,42627.85546875,2347.566162109375
2023-12-29,42099.40234375,2300.690673828125
2023-12-30,42156.90234375,2292.0654296875
2023-12-31,42265.1875,2281.47119140625
